image,question,raw_response,prediction,ground_truth,correct
COCO_val2014_000000358765.jpg,"From the perspective of the camera, which orientation is the bird in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,FRONT RIGHT,False
COCO_val2014_000000358765.jpg,"From the perspective of the camera, Answer what orientation the bird in the picture is facing.",FRONT,FRONT,FACING RIGHT WHILE FACING THE CAMERA,False
COCO_val2014_000000358765.jpg,"Is the bird facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_val2014_000000358765.jpg,"Is the bird facing 'back' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_val2014_000000492723.jpg,"From the perspective of the camera, which orientation is the bear in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT,False
COCO_val2014_000000492723.jpg,"From the perspective of the camera, Answer what orientation the bear in the picture is facing.",FRONT,FRONT,FACING THE CAMERA,False
COCO_val2014_000000492723.jpg,"Is the bear facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_val2014_000000492723.jpg,"Is the bear facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_train2014_000000547083.jpg,"From the perspective of the camera, which orientation is the bus in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,RIGHT,True
COCO_train2014_000000547083.jpg,"From the perspective of the camera, Answer what orientation the bus in the picture is facing.",FRONT,FRONT,FACING RIGHT,False
COCO_train2014_000000547083.jpg,"Is the bus facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO,NO,YES,False
COCO_train2014_000000547083.jpg,"Is the bus facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_val2014_000000569414.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT,False
COCO_val2014_000000569414.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING THE CAMERA,False
COCO_val2014_000000569414.jpg,"Is the person facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_val2014_000000569414.jpg,"Is the person facing 'front left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_val2014_000000488977.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,LEFT,False
COCO_val2014_000000488977.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING LEFT,False
COCO_val2014_000000488977.jpg,"Is the person facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO,NO,YES,False
COCO_val2014_000000488977.jpg,"Is the person facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO,NO,NO,True
COCO_train2014_000000270135.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,RIGHT,False
COCO_train2014_000000270135.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING RIGHT,False
COCO_train2014_000000270135.jpg,"Is the person facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,YES,False
COCO_train2014_000000270135.jpg,"Is the person facing 'back right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_train2014_000000135316.jpg,"From the perspective of the camera, which orientation is the airplane in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C,C,LEFT,False
COCO_train2014_000000135316.jpg,"From the perspective of the camera, Answer what orientation the airplane in the picture is facing.",FORWARD,FORWARD,FACING LEFT,False
COCO_train2014_000000135316.jpg,"Is the airplane facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO,NO,YES,False
COCO_train2014_000000135316.jpg,"Is the airplane facing 'back right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000411417.jpg,"From the perspective of the camera, which orientation is the dog in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C,C,RIGHT,False
COCO_train2014_000000411417.jpg,"From the perspective of the camera, Answer what orientation the dog in the picture is facing.",FRONT,FRONT,FACING RIGHT,False
COCO_train2014_000000411417.jpg,"Is the dog facing 'right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000411417.jpg,"Is the dog facing 'front left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000373318.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT RIGHT,False
COCO_train2014_000000373318.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING RIGHT WHILE FACING THE CAMERA,False
COCO_train2014_000000373318.jpg,"Is the person facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,YES,False
COCO_train2014_000000373318.jpg,"Is the person facing 'back right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_val2014_000000306061.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT,False
COCO_val2014_000000306061.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING THE CAMERA,False
COCO_val2014_000000306061.jpg,"Is the person facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_val2014_000000306061.jpg,"Is the person facing 'back' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_train2014_000000000081.jpg,"From the perspective of the camera, which orientation is the airplane in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",C.RIGHT,RIGHT,LEFT,False
COCO_train2014_000000000081.jpg,"From the perspective of the camera, Answer what orientation the airplane in the picture is facing.",FORWARD,FORWARD,FACING LEFT,False
COCO_train2014_000000000081.jpg,"Is the airplane facing 'left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO,NO,YES,False
COCO_train2014_000000000081.jpg,"Is the airplane facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO,NO,NO,True
COCO_val2014_000000477598.jpg,"From the perspective of the camera, which orientation is the dog in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT,False
COCO_val2014_000000477598.jpg,"From the perspective of the camera, Answer what orientation the dog in the picture is facing.",FRONT,FRONT,FACING THE CAMERA,False
COCO_val2014_000000477598.jpg,"Is the dog facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_val2014_000000477598.jpg,"Is the dog facing 'front right' from the camera's perspective? 
Answer with 'yes' or 'no' only.",NO.,NO,NO,True
COCO_val2014_000000007088.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT,False
COCO_val2014_000000007088.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING THE CAMERA,False
COCO_val2014_000000007088.jpg,"Is the person facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_val2014_000000007088.jpg,"Is the person facing 'front left' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000290645.jpg,"From the perspective of the camera, which orientation is the person in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT,False
COCO_train2014_000000290645.jpg,"From the perspective of the camera, Answer what orientation the person in the picture is facing.",FRONT,FRONT,FACING THE CAMERA,False
COCO_train2014_000000290645.jpg,"Is the person facing 'front' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,YES,True
COCO_train2014_000000290645.jpg,"Is the person facing 'back' from the camera's perspective? 
Answer with 'yes' or 'no' only.",YES.,YES,NO,False
COCO_train2014_000000090718.jpg,"From the perspective of the camera, which orientation is the bear in the photo facing? A.front B.front right C.right D.back right E.back F.back left G.left H.front left
 Answer with the option's letter and word from the given choices directly.",A,A,FRONT LEFT,False
